Class,OCavg,OCmax,WMC
backtype.storm.blobstore.storm_old_5f647fa7d3d6800b5787967d,2.33,1,14
backtype.storm.blobstore.storm_old_5f647fa7d3d6800b5787967d.BlobStoreFileInputStream,1,1,7
backtype.storm.blobstore.storm_old_5f647fa7d3d6800b5787967d.BlobStoreFileOutputStream,1,1,6
backtype.storm.blobstore.storm_old_5f647fa7d3d6800b5787967d.KeyTranslationIterator,1.6,3,8
backtype.storm.blobstore.storm_old_5f647fb8d3d6800b578797b9,1.6,4,16
backtype.storm.blobstore.storm_old_5f647fc6d3d6800b578798d1,2,2,4
backtype.storm.blobstore.storm_old_5f6480aad3d6800b5787aa20,2.33,1,14
backtype.storm.blobstore.storm_old_5f6480aad3d6800b5787aa20.BlobStoreFileInputStream,1,1,7
backtype.storm.blobstore.storm_old_5f6480aad3d6800b5787aa20.BlobStoreFileOutputStream,1,1,6
backtype.storm.blobstore.storm_old_5f6480aad3d6800b5787aa20.KeyTranslationIterator,1.6,3,8
backtype.storm.blobstore.storm_old_5f6480bdd3d6800b5787ab94,1.6,4,16
backtype.storm.blobstore.storm_old_5f6480d0d3d6800b5787ace8,2,2,4
backtype.storm.blobstore.storm_old_5f648abfd3d6800b578883a2,2,2,4
backtype.storm.blobstore.storm_old_5f648acad3d6800b578884df,2.33,1,14
backtype.storm.blobstore.storm_old_5f648acad3d6800b578884df.BlobStoreFileInputStream,1,1,7
backtype.storm.blobstore.storm_old_5f648acad3d6800b578884df.BlobStoreFileOutputStream,1,1,6
backtype.storm.blobstore.storm_old_5f648acad3d6800b578884df.KeyTranslationIterator,1.6,3,8
backtype.storm.blobstore.storm_old_5f648accd3d6800b57888503,2.33,1,14
backtype.storm.blobstore.storm_old_5f648accd3d6800b57888503.BlobStoreFileInputStream,1,1,7
backtype.storm.blobstore.storm_old_5f648accd3d6800b57888503.BlobStoreFileOutputStream,1,1,6
backtype.storm.blobstore.storm_old_5f648accd3d6800b57888503.KeyTranslationIterator,1.6,3,8
backtype.storm.blobstore.storm_old_5f648accd3d6800b57888517,2.33,1,14
backtype.storm.blobstore.storm_old_5f648accd3d6800b57888517.BlobStoreFileInputStream,1,1,7
backtype.storm.blobstore.storm_old_5f648accd3d6800b57888517.BlobStoreFileOutputStream,1,1,6
backtype.storm.blobstore.storm_old_5f648accd3d6800b57888517.KeyTranslationIterator,1.6,3,8
backtype.storm.blobstore.storm_old_5f648aced3d6800b57888544,1.6,4,16
backtype.storm.blobstore.storm_old_5f648acfd3d6800b5788856e,1.6,4,16
backtype.storm.blobstore.storm_old_5f648ad2d3d6800b578885b5,2.33,1,14
backtype.storm.blobstore.storm_old_5f648ad2d3d6800b578885b5.BlobStoreFileInputStream,1,1,7
backtype.storm.blobstore.storm_old_5f648ad2d3d6800b578885b5.BlobStoreFileOutputStream,1,1,6
backtype.storm.blobstore.storm_old_5f648ad2d3d6800b578885b5.KeyTranslationIterator,1.6,3,8
backtype.storm.blobstore.storm_old_5f648adcd3d6800b578886a0,2.33,1,14
backtype.storm.blobstore.storm_old_5f648adcd3d6800b578886a0.BlobStoreFileInputStream,1,1,7
backtype.storm.blobstore.storm_old_5f648adcd3d6800b578886a0.BlobStoreFileOutputStream,1,1,6
backtype.storm.blobstore.storm_old_5f648adcd3d6800b578886a0.KeyTranslationIterator,1.6,3,8
backtype.storm.contrib.jms.spout.storm_old_5f647b9cd3d6800b57874707,1.57,5,33
backtype.storm.contrib.jms.spout.storm_old_5f648a0ad3d6800b578870d8,1.57,5,33
backtype.storm.contrib.jms.spout.storm_old_5f648a0bd3d6800b578870e9,1.63,5,31
backtype.storm.contrib.jms.spout.storm_old_5f648a0bd3d6800b578870f9,1.63,5,31
backtype.storm.grouping.storm_old_5f647caed3d6800b57875e6a,2,3,4
backtype.storm.grouping.storm_old_5f647cbed3d6800b57875fc4,2,3,4
backtype.storm.grouping.storm_old_5f647cbfd3d6800b57875fe5,2,3,4
backtype.storm.grouping.storm_old_5f647fadd3d6800b578796f2,5,16,20
backtype.storm.grouping.storm_old_5f6480b0d3d6800b5787aaa7,5,16,20
backtype.storm.grouping.storm_old_5f648a4ad3d6800b57887778,2.25,5,9
