Class,OCavg,OCmax,WMC
com.gemstone.gemfire.internal.cache.geode_old_5f643af0d3d6800b5781356a.TXExpiryTask,2,3,4
com.gemstone.gemfire.internal.cache.geode_old_5f643af0d3d6800b5781356a.TXRemovalMessage,1.17,2,7
com.gemstone.gemfire.internal.cache.geode_old_5f644c86d3d6800b5782c5da,2.38,4,207
com.gemstone.gemfire.internal.cache.geode_old_5f644c86d3d6800b5782c5da.RefCountMapEntry,1.2,2,12
com.gemstone.gemfire.internal.cache.geode_old_5f644c86d3d6800b5782c5da.RefCountMapEntryCreator,1,1,2
com.gemstone.gemfire.internal.cache.geode_old_5f644c86d3d6800b5782c5da.TXExpiryTask,2,3,4
com.gemstone.gemfire.internal.cache.geode_old_5f644c86d3d6800b5782c5da.TXRemovalMessage,1.17,2,7
com.gemstone.gemfire.internal.cache.geode_old_5f644c96d3d6800b5782c78f,2.37,4,204
com.gemstone.gemfire.internal.cache.geode_old_5f644c96d3d6800b5782c78f.RefCountMapEntry,1.2,2,12
com.gemstone.gemfire.internal.cache.geode_old_5f644c96d3d6800b5782c78f.RefCountMapEntryCreator,1,1,2
com.gemstone.gemfire.internal.cache.geode_old_5f644c96d3d6800b5782c78f.TXExpiryTask,2,3,4
com.gemstone.gemfire.internal.cache.geode_old_5f644c96d3d6800b5782c78f.TXRemovalMessage,1.17,2,7
com.gemstone.gemfire.internal.cache.geode_old_5f644c97d3d6800b5782c79e,1.92,3,71
com.gemstone.gemfire.internal.cache.geode_old_5f644c97d3d6800b5782c79e.RemoteOperationResponse,2.75,11,22
com.gemstone.gemfire.internal.cache.geode_old_5f644c9bd3d6800b5782c80c,2.37,4,204
com.gemstone.gemfire.internal.cache.geode_old_5f644c9bd3d6800b5782c80c.RefCountMapEntry,1.2,2,12
com.gemstone.gemfire.internal.cache.geode_old_5f644c9bd3d6800b5782c80c.RefCountMapEntryCreator,1,1,2
com.gemstone.gemfire.internal.cache.geode_old_5f644c9bd3d6800b5782c80c.TXExpiryTask,2,3,4
com.gemstone.gemfire.internal.cache.geode_old_5f644c9bd3d6800b5782c80c.TXRemovalMessage,1.17,2,7
com.gemstone.gemfire.internal.cache.geode_old_5f644c9cd3d6800b5782c81e,1.92,3,71
com.gemstone.gemfire.internal.cache.geode_old_5f644c9cd3d6800b5782c81e.RemoteOperationResponse,2.75,11,22
com.gemstone.gemfire.internal.cache.geode_old_5f644c9dd3d6800b5782c84d,2.41,5,229
com.gemstone.gemfire.internal.cache.geode_old_5f644c9dd3d6800b5782c84d.RefCountMapEntry,1.2,2,12
com.gemstone.gemfire.internal.cache.geode_old_5f644c9dd3d6800b5782c84d.RefCountMapEntryCreator,1,1,2
com.gemstone.gemfire.internal.cache.geode_old_5f644c9dd3d6800b5782c84d.TXExpiryTask,2,3,4
com.gemstone.gemfire.internal.cache.geode_old_5f644c9dd3d6800b5782c84d.TXRemovalMessage,1.17,2,7
com.gemstone.gemfire.internal.cache.geode_old_5f644c9fd3d6800b5782c876,2.41,5,229
com.gemstone.gemfire.internal.cache.geode_old_5f644c9fd3d6800b5782c876.RefCountMapEntry,1.2,2,12
com.gemstone.gemfire.internal.cache.geode_old_5f644c9fd3d6800b5782c876.RefCountMapEntryCreator,1,1,2
com.gemstone.gemfire.internal.cache.geode_old_5f644c9fd3d6800b5782c876.TXExpiryTask,2,3,4
com.gemstone.gemfire.internal.cache.geode_old_5f644c9fd3d6800b5782c876.TXRemovalMessage,1.17,2,7
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f64389fd3d6800b5781000f,2.15,3,84
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f64389fd3d6800b5781000f.PartitionResponse,2.5,9,20
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f6438bdd3d6800b5781033a,2.07,3,91
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f6438bdd3d6800b5781033a.PartitionResponse,2.5,9,20
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f643a3ad3d6800b578125c8,2.12,3,91
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f643a3ad3d6800b578125c8.PartitionResponse,2.5,9,20
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f643abed3d6800b57813128,2.12,3,91
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f643abed3d6800b57813128.PartitionResponse,2.5,9,20
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f644c8dd3d6800b5782c68b,2.07,3,91
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f644c8dd3d6800b5782c68b.PartitionResponse,2.5,9,20
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f644c90d3d6800b5782c6e7,2.07,3,91
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f644c90d3d6800b5782c6e7.PartitionResponse,2.5,9,20
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f644c98d3d6800b5782c7b2,2.12,3,91
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f644c98d3d6800b5782c7b2.PartitionResponse,2.5,9,20
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f644c9ad3d6800b5782c7fc,2.12,3,91
com.gemstone.gemfire.internal.cache.partitioned.geode_old_5f644c9ad3d6800b5782c7fc.PartitionResponse,2.5,9,20
com.gemstone.gemfire.internal.lang.geode_old_5f643a4fd3d6800b5781277e,3.67,4,11
com.gemstone.gemfire.internal.lang.geode_old_5f643acfd3d6800b5781329a,3.67,4,11
com.gemstone.gemfire.internal.security.geode_old_5f6439f2d3d6800b57811fab,1,1,37
com.gemstone.gemfire.internal.security.geode_old_5f6439f2d3d6800b57811fab.SerializationProxy,1,1,2
com.gemstone.gemfire.internal.security.geode_old_5f6439f5d3d6800b57811fe4,1,1,37
com.gemstone.gemfire.internal.security.geode_old_5f6439f5d3d6800b57811fe4.SerializationProxy,1,1,2
com.gemstone.gemfire.test.junit.rules.geode_old_5f643a55d3d6800b578127ef,2,4,10
com.gemstone.gemfire.test.junit.rules.geode_old_5f643a7ad3d6800b57812afa,1.17,2,7
com.gemstone.gemfire.test.junit.rules.geode_old_5f643ad4d3d6800b57813303,2,4,10
com.gemstone.gemfire.test.junit.rules.geode_old_5f643af1d3d6800b57813588,1.17,2,7
com.gemstone.gemfire.test.junit.rules.geode_old_5f643b6fd3d6800b578140af,2,4,10
com.gemstone.gemfire.test.junit.rules.geode_old_5f643b72d3d6800b5781410b,1.17,2,7
eu.stratosphere.nephele.fs.file.flink_old_5f643bd9d3d6800b57814b31,1.87,5,28
eu.stratosphere.nephele.fs.file.flink_old_5f643be6d3d6800b57814c62,1.87,5,28
eu.stratosphere.nephele.fs.file.flink_old_5f643be8d3d6800b57814c93,1.87,5,28
eu.stratosphere.nephele.fs.file.flink_old_5f643becd3d6800b57814cfa,1.87,5,28
eu.stratosphere.nephele.fs.file.flink_old_5f643dead3d6800b578178a3,1.87,5,28
eu.stratosphere.nephele.fs.file.flink_old_5f643e27d3d6800b57817d27,1.87,5,28
eu.stratosphere.nephele.fs.file.flink_old_5f643e6ad3d6800b57818244,1.87,5,28
eu.stratosphere.nephele.fs.file.flink_old_5f643ec9d3d6800b57818956,1.87,5,28
eu.stratosphere.nephele.fs.s3.flink_old_5f6439cdd3d6800b57811c29,2.06,9,37
eu.stratosphere.nephele.fs.s3.flink_old_5f6439d9d3d6800b57811d44,3.94,10,71
eu.stratosphere.nephele.fs.s3.flink_old_5f643d3cd3d6800b57816a7d,4.43,12,93
eu.stratosphere.nephele.fs.s3.flink_old_5f643d3cd3d6800b57816a8e,4.43,12,93
eu.stratosphere.nephele.jobmanager.scheduler.queue.flink_old_5f643755d3d6800b5780e063,2,5,8
eu.stratosphere.nephele.jobmanager.scheduler.queue.flink_old_5f643766d3d6800b5780e1f0,2,5,8
eu.stratosphere.nephele.jobmanager.scheduler.queue.flink_old_5f64377ed3d6800b5780e477,2,5,8
eu.stratosphere.nephele.jobmanager.scheduler.queue.flink_old_5f643bffd3d6800b57814eb8,2,5,8
eu.stratosphere.nephele.jobmanager.scheduler.queue.flink_old_5f643c03d3d6800b57814f0d,2,5,8
eu.stratosphere.nephele.jobmanager.scheduler.queue.flink_old_5f643c05d3d6800b57814f54,2,5,8
eu.stratosphere.nephele.jobmanager.scheduler.queue.flink_old_5f643c59d3d6800b57815683,1.75,4,7
eu.stratosphere.nephele.jobmanager.scheduler.queue.flink_old_5f643c5ed3d6800b578156ee,1.75,4,7
eu.stratosphere.nephele.jobmanager.scheduler.queue.flink_old_5f643c65d3d6800b57815785,1.75,4,7
eu.stratosphere.nephele.jobmanager.scheduler.queue.flink_old_5f643c9cd3d6800b57815c49,1.75,4,7
eu.stratosphere.nephele.jobmanager.scheduler.queue.flink_old_5f643d70d3d6800b57816ea7,1.75,4,7
eu.stratosphere.nephele.jobmanager.scheduler.queue.flink_old_5f643dc9d3d6800b578175ec,1.75,4,7
eu.stratosphere.nephele.jobmanager.scheduler.queue.flink_old_5f643e59d3d6800b578180d9,1.75,4,7
eu.stratosphere.pact.runtime.task.flink_old_5f643a25d3d6800b57812415,6.44,11,58
eu.stratosphere.pact.runtime.task.flink_old_5f643a25d3d6800b57812415.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643a3dd3d6800b578125f8,6.44,11,58
eu.stratosphere.pact.runtime.task.flink_old_5f643a3dd3d6800b578125f8.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643a72d3d6800b57812a58,6.44,11,58
eu.stratosphere.pact.runtime.task.flink_old_5f643a72d3d6800b57812a58.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643a7dd3d6800b57812b45,6.56,11,59
eu.stratosphere.pact.runtime.task.flink_old_5f643a7dd3d6800b57812b45.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643b15d3d6800b578138b3,6.56,11,59
eu.stratosphere.pact.runtime.task.flink_old_5f643b15d3d6800b578138b3.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643b1ed3d6800b5781398f,6.56,11,59
eu.stratosphere.pact.runtime.task.flink_old_5f643b1ed3d6800b5781398f.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643d3ed3d6800b57816ab8,6.44,11,58
eu.stratosphere.pact.runtime.task.flink_old_5f643d3ed3d6800b57816ab8.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643d75d3d6800b57816f0a,6.44,11,58
eu.stratosphere.pact.runtime.task.flink_old_5f643d75d3d6800b57816f0a.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643d83d3d6800b57817017,6.56,11,59
eu.stratosphere.pact.runtime.task.flink_old_5f643d83d3d6800b57817017.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643d99d3d6800b578171dd,6.56,11,59
eu.stratosphere.pact.runtime.task.flink_old_5f643d99d3d6800b578171dd.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643da8d3d6800b5781731b,6.44,11,58
eu.stratosphere.pact.runtime.task.flink_old_5f643da8d3d6800b5781731b.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643dc4d3d6800b57817579,6.56,11,59
eu.stratosphere.pact.runtime.task.flink_old_5f643dc4d3d6800b57817579.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643e07d3d6800b57817abf,6.56,11,59
eu.stratosphere.pact.runtime.task.flink_old_5f643e07d3d6800b57817abf.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643e09d3d6800b57817ae7,6.56,11,59
eu.stratosphere.pact.runtime.task.flink_old_5f643e09d3d6800b57817ae7.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643e1dd3d6800b57817c65,6.78,11,61
eu.stratosphere.pact.runtime.task.flink_old_5f643e1dd3d6800b57817c65.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643e38d3d6800b57817e58,6.56,11,59
eu.stratosphere.pact.runtime.task.flink_old_5f643e38d3d6800b57817e58.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643e7ad3d6800b57818348,6.56,11,59
eu.stratosphere.pact.runtime.task.flink_old_5f643e7ad3d6800b57818348.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643e7ed3d6800b5781839e,5,9,35
eu.stratosphere.pact.runtime.task.flink_old_5f643e7ed3d6800b5781839e.RepeatableMutableObjectIterator,1.67,2,5
eu.stratosphere.pact.runtime.task.flink_old_5f643f10d3d6800b5781900f,6.78,11,61
eu.stratosphere.pact.runtime.task.flink_old_5f643f10d3d6800b5781900f.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643f7ad3d6800b57819a46,6.78,11,61
eu.stratosphere.pact.runtime.task.flink_old_5f643f7ad3d6800b57819a46.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f643fcbd3d6800b5781a212,6.78,11,61
eu.stratosphere.pact.runtime.task.flink_old_5f643fcbd3d6800b5781a212.RepeatableIterator,1,1,5
eu.stratosphere.pact.runtime.task.flink_old_5f644008d3d6800b5781a7c2,4.62,9,37
eu.stratosphere.pact.runtime.task.flink_old_5f644008d3d6800b5781a7c2.RepeatableMutableObjectIterator,1.67,2,5
eu.stratosphere.sopremo.flink_old_5f643a56d3d6800b57812804,1.67,3,10
eu.stratosphere.sopremo.flink_old_5f643e0ed3d6800b57817b56,2,3,12
eu.stratosphere.sopremo.flink_old_5f643e2dd3d6800b57817da4,2,3,12
eu.stratosphere.sopremo.flink_old_5f643eadd3d6800b578186e5,1.83,1,42
eu.stratosphere.sopremo.flink_old_5f643eadd3d6800b578186e5.Output,1.43,4,10
eu.stratosphere.sopremo.flink_old_5f643edcd3d6800b57818b35,1.88,1,45
eu.stratosphere.sopremo.flink_old_5f643edcd3d6800b57818b35.Output,1.43,4,10
eu.stratosphere.sopremo.flink_old_5f643f0cd3d6800b57818fac,1.86,3,13
eu.stratosphere.sopremo.flink_old_5f643f0dd3d6800b57818fcc,1.88,1,45
eu.stratosphere.sopremo.flink_old_5f643f0dd3d6800b57818fcc.Output,1.43,4,10
eu.stratosphere.sopremo.flink_old_5f643f1dd3d6800b57819166,1.63,3,62
eu.stratosphere.sopremo.flink_old_5f643f1dd3d6800b57819166.Info,1.8,4,9
eu.stratosphere.sopremo.flink_old_5f643f1dd3d6800b57819166.Output,1.43,4,10
eu.stratosphere.sopremo.flink_old_5f643fdcd3d6800b5781a38e,n/a,n/a,0
eu.stratosphere.sopremo.flink_old_5f643fe5d3d6800b5781a475,n/a,n/a,0
org.apache.activemq.kaha.IndexType,n/a,n/a,25
org.apache.activemq.transport.stomp.activemq_new_5f640b2ed3d6800b577cefcd.Transformations,1,1,2
org.apache.activemq.transport.stomp.activemq_new_5f640be9d3d6800b577cfeca.Transformations,1,1,2
org.apache.activemq.transport.stomp.activemq_new_5f640f88d3d6800b577d518b.Transformations,1,1,2
org.apache.activemq.transport.stomp.activemq_old_5f640be9d3d6800b577cfeca.Transformations,1,1,2
org.apache.activemq.transport.stomp.activemq_old_5f640f88d3d6800b577d518b.Transformations,1,1,2
org.apache.commons.math.analysis.commonsmath_new_5f6423b7d3d6800b577f011e,1.75,4,7
org.apache.commons.math.analysis.commonsmath_new_5f6423dbd3d6800b577f04b3,1,1,4
org.apache.commons.math.analysis.commonsmath_new_5f64249cd3d6800b577f1685,1.6,2,8
org.apache.commons.math.analysis.commonsmath_new_5f6424a0d3d6800b577f16f5,1,1,4
org.apache.commons.math.analysis.commonsmath_new_5f6424b5d3d6800b577f18bc,1.75,4,7
org.apache.commons.math.analysis.commonsmath_new_5f6424ccd3d6800b577f1ab6,2.25,3,9
org.apache.commons.math.analysis.commonsmath_new_5f6424d2d3d6800b577f1b47,1,1,3
org.apache.commons.math.analysis.commonsmath_new_5f6424d3d3d6800b577f1b5b,1,1,4
org.apache.commons.math.analysis.commonsmath_new_5f642518d3d6800b577f2116,1.75,4,7
org.apache.commons.math.analysis.commonsmath_new_5f642519d3d6800b577f2132,1,1,4
org.apache.commons.math.analysis.commonsmath_new_5f64251fd3d6800b577f2187,2.25,3,9
org.apache.commons.math.analysis.commonsmath_new_5f64252ed3d6800b577f22d0,2.4,4,12
org.apache.commons.math.analysis.commonsmath_new_5f642540d3d6800b577f2462,1.6,2,8
org.apache.commons.math.analysis.commonsmath_new_5f64256bd3d6800b577f27de,1.67,3,5
org.apache.commons.math.analysis.commonsmath_new_5f64258dd3d6800b577f2ac7,2,4,6
org.apache.commons.math.analysis.commonsmath_new_5f64258fd3d6800b577f2af0,1.67,3,5
org.apache.commons.math.analysis.commonsmath_new_5f642590d3d6800b577f2b0c,2,6,14
org.apache.commons.math.analysis.commonsmath_new_5f642629d3d6800b577f37c7,5.33,14,16
org.apache.commons.math.analysis.commonsmath_new_5f642633d3d6800b577f3886,2.67,5,8
org.apache.commons.math.analysis.commonsmath_new_5f642634d3d6800b577f389a,2.67,5,8
org.apache.commons.math.analysis.commonsmath_new_5f642635d3d6800b577f38b3,2.5,4,10
org.apache.commons.math.analysis.commonsmath_new_5f642637d3d6800b577f38cf,2.67,5,8
org.apache.commons.math.analysis.commonsmath_new_5f642638d3d6800b577f38f7,2.67,5,8
org.apache.commons.math.analysis.commonsmath_new_5f64263ad3d6800b577f3913,2.5,4,10
org.apache.commons.math.analysis.commonsmath_new_5f64264bd3d6800b577f3a3d,1.5,3,6
org.apache.commons.math.analysis.commonsmath_new_5f64266bd3d6800b577f3cea,1.78,4,16
org.apache.commons.math.analysis.commonsmath_new_5f64266dd3d6800b577f3d09,1,1,1
org.apache.commons.math.analysis.commonsmath_new_5f64267bd3d6800b577f3e41,5.75,13,23
org.apache.commons.math.analysis.commonsmath_new_5f6426cdd3d6800b577f4513,6.75,13,27
org.apache.commons.math.analysis.commonsmath_new_5f6426f5d3d6800b577f48dd,6.75,13,27
org.apache.commons.math.analysis.commonsmath_new_5f6427d1d3d6800b577f5b33,1.5,4,9
org.apache.commons.math.analysis.commonsmath_new_5f6427d2d3d6800b577f5b52,1.33,3,8
org.apache.commons.math.analysis.commonsmath_new_5f6427d4d3d6800b577f5b7d,3.18,8,35
org.apache.commons.math.analysis.commonsmath_new_5f6427d5d3d6800b577f5ba0,4.12,13,33
org.apache.commons.math.analysis.commonsmath_new_5f6427d7d3d6800b577f5bc4,4.29,13,30
org.apache.commons.math.analysis.commonsmath_new_5f6427d9d3d6800b577f5be7,3.17,10,19
org.apache.commons.math.analysis.commonsmath_new_5f6427dad3d6800b577f5c0d,1,1,6
org.apache.commons.math.analysis.commonsmath_new_5f642a4fd3d6800b577f9581,1,1,10
org.apache.commons.math.analysis.commonsmath_new_5f642a50d3d6800b577f9599,1.02,2,49
org.apache.commons.math.analysis.commonsmath_new_5f642aebd3d6800b577fa23a,1.02,2,51
org.apache.commons.math.analysis.commonsmath_new_5f642b14d3d6800b577fa54d,1,1,10
org.apache.commons.math.analysis.commonsmath_new_5f642bb0d3d6800b577fb18b,1.02,2,51
org.apache.commons.math.analysis.commonsmath_new_5f642bbbd3d6800b577fb27a,1,1,10
org.apache.commons.math.analysis.commonsmath_new_5f642bfad3d6800b577fb7bd,1.02,2,51
org.apache.commons.math.analysis.commonsmath_new_5f642c0ed3d6800b577fb945,1,1,10
org.apache.commons.math.analysis.commonsmath_new_5f642c2cd3d6800b577fbb9a,1.03,2,31
org.apache.commons.math.analysis.commonsmath_new_5f642c2dd3d6800b577fbbb0,1.27,2,19
org.apache.commons.math.analysis.commonsmath_new_5f642e93d3d6800b577ff558,1.43,4,40
org.apache.commons.math.analysis.commonsmath_new_5f642f33d3d6800b578006a5,1.75,4,7
org.apache.commons.math.analysis.commonsmath_new_5f642f44d3d6800b57800878,2.25,3,9
org.apache.commons.math.analysis.commonsmath_new_5f642f5ed3d6800b57800b8f,10,10,10
org.apache.commons.math.analysis.commonsmath_new_5f642f63d3d6800b57800c24,2,4,6
org.apache.commons.math.analysis.commonsmath_new_5f642f64d3d6800b57800c36,1.5,2,9
org.apache.commons.math.analysis.commonsmath_new_5f642f75d3d6800b57800dff,2,4,6
org.apache.commons.math.analysis.commonsmath_new_5f642f77d3d6800b57800e39,10,10,10
org.apache.commons.math.analysis.commonsmath_new_5f642f79d3d6800b57800e79,1.75,4,14
org.apache.commons.math.analysis.commonsmath_new_5f642f8ad3d6800b57801078,9,9,9
org.apache.commons.math.analysis.commonsmath_new_5f642f8fd3d6800b578010ec,1,1,6
org.apache.commons.math.analysis.commonsmath_new_5f642f8fd3d6800b578010ff,9,9,9
org.apache.commons.math.analysis.commonsmath_new_5f642f90d3d6800b57801113,2,4,6
org.apache.commons.math.analysis.commonsmath_new_5f642f91d3d6800b5780113a,1.67,3,5
org.apache.commons.math.analysis.commonsmath_new_5f642f96d3d6800b578011c7,1.75,4,14
org.apache.commons.math.analysis.commonsmath_new_5f643015d3d6800b57801e48,2.12,4,17
org.apache.commons.math.analysis.commonsmath_new_5f643032d3d6800b5780211f,1.75,4,14
org.apache.commons.math.analysis.commonsmath_new_5f643038d3d6800b578021ca,2,4,6
org.apache.commons.math.analysis.commonsmath_new_5f64303bd3d6800b5780220e,2.12,4,17
org.apache.commons.math.analysis.commonsmath_new_5f64303ed3d6800b57802277,3.88,8,31
org.apache.commons.math.analysis.commonsmath_new_5f643045d3d6800b5780232c,1.5,3,6
org.apache.commons.math.analysis.commonsmath_new_5f643046d3d6800b5780233c,2,4,6
org.apache.commons.math.analysis.commonsmath_new_5f643047d3d6800b5780236e,2.67,5,8
org.apache.commons.math.analysis.commonsmath_new_5f643048d3d6800b5780237f,2.67,5,8
org.apache.commons.math.analysis.commonsmath_new_5f643049d3d6800b578023a3,2.5,4,10
org.apache.commons.math.analysis.commonsmath_new_5f64304ad3d6800b578023b3,2.12,4,17
org.apache.commons.math.analysis.commonsmath_new_5f64306dd3d6800b57802736,3.88,8,31
org.apache.commons.math.analysis.commonsmath_new_5f64309fd3d6800b57802c93,7.25,13,29
org.apache.commons.math.analysis.commonsmath_new_5f6430e5d3d6800b578033fa,2,6,14
org.apache.commons.math.analysis.commonsmath_new_5f64310dd3d6800b57803884,3.11,11,28
org.apache.commons.math.analysis.commonsmath_new_5f64312ad3d6800b57803b93,2,6,14
org.apache.commons.math.analysis.commonsmath_new_5f643218d3d6800b57805735,1.02,2,51
org.apache.commons.math.analysis.commonsmath_new_5f64321cd3d6800b57805797,1,1,10
org.apache.commons.math.analysis.commonsmath_new_5f64321cd3d6800b578057ad,1.02,2,51
org.apache.commons.math.analysis.commonsmath_new_5f64328ad3d6800b578063aa,1,1,4
org.apache.commons.math.analysis.commonsmath_new_5f64328bd3d6800b578063ce,1.25,2,20
org.apache.commons.math.analysis.commonsmath_new_5f64331fd3d6800b57807457,1.25,2,20
org.apache.commons.math.analysis.commonsmath_old_5f6423dbd3d6800b577f04b3,1,1,2
org.apache.commons.math.analysis.commonsmath_old_5f64246dd3d6800b577f1215,1.6,2,8
