Class,OCavg,OCmax,WMC
com.gemstone.gemfire.DataSerializer,3.12,14,365
com.gemstone.gemfire.distributed.internal.deadlock.geode_old_5f643a24d3d6800b57812405,3.47,12,52
com.gemstone.gemfire.distributed.internal.deadlock.geode_old_5f643aadd3d6800b57812f87,3.47,12,52
com.gemstone.gemfire.distributed.internal.geode_old_5f644cead3d6800b5782d040,3.11,16,118
com.gemstone.gemfire.distributed.internal.geode_old_5f644cead3d6800b5782d056,3.11,16,118
com.gemstone.gemfire.distributed.internal.geode_old_5f644cedd3d6800b5782d0a4,3.11,16,118
com.gemstone.gemfire.distributed.internal.geode_old_5f644cf1d3d6800b5782d117,3.11,16,118
com.gemstone.gemfire.internal.cache.geode_old_5f64389dd3d6800b5780ffc3,2.35,4,197
com.gemstone.gemfire.internal.cache.geode_old_5f64389dd3d6800b5780ffc3.RefCountMapEntry,1.2,2,12
com.gemstone.gemfire.internal.cache.geode_old_5f64389dd3d6800b5780ffc3.RefCountMapEntryCreator,1,1,2
com.gemstone.gemfire.internal.cache.geode_old_5f64389dd3d6800b5780ffc3.TXExpiryTask,2,3,4
com.gemstone.gemfire.internal.cache.geode_old_5f64389dd3d6800b5780ffc3.TXRemovalMessage,1.17,2,7
com.gemstone.gemfire.internal.cache.geode_old_5f64389ed3d6800b5780ffef,1.91,3,65
com.gemstone.gemfire.internal.cache.geode_old_5f64389ed3d6800b5780ffef.RemoteOperationResponse,2.75,11,22
com.gemstone.gemfire.internal.cache.geode_old_5f6438b3d3d6800b5781022b,2.38,4,207
com.gemstone.gemfire.internal.cache.geode_old_5f6438b3d3d6800b5781022b.RefCountMapEntry,1.2,2,12
com.gemstone.gemfire.internal.cache.geode_old_5f6438b3d3d6800b5781022b.RefCountMapEntryCreator,1,1,2
com.gemstone.gemfire.internal.cache.geode_old_5f6438b3d3d6800b5781022b.TXExpiryTask,2,3,4
com.gemstone.gemfire.internal.cache.geode_old_5f6438b3d3d6800b5781022b.TXRemovalMessage,1.17,2,7
com.gemstone.gemfire.internal.cache.geode_old_5f6438bad3d6800b578102e8,2.38,4,207
com.gemstone.gemfire.internal.cache.geode_old_5f6438bad3d6800b578102e8.RefCountMapEntry,1.2,2,12
com.gemstone.gemfire.internal.cache.geode_old_5f6438bad3d6800b578102e8.RefCountMapEntryCreator,1,1,2
com.gemstone.gemfire.internal.cache.geode_old_5f6438bad3d6800b578102e8.TXExpiryTask,2,3,4
com.gemstone.gemfire.internal.cache.geode_old_5f6438bad3d6800b578102e8.TXRemovalMessage,1.17,2,7
com.gemstone.gemfire.internal.cache.geode_old_5f6438bbd3d6800b57810312,1.87,3,71
com.gemstone.gemfire.internal.cache.geode_old_5f6438bbd3d6800b57810312.RemoteOperationResponse,2.75,11,22
com.gemstone.gemfire.internal.cache.geode_old_5f6439e8d3d6800b57811eae,2.41,5,229
com.gemstone.gemfire.internal.cache.geode_old_5f6439e8d3d6800b57811eae.RefCountMapEntry,1.2,2,12
com.gemstone.gemfire.internal.cache.geode_old_5f6439e8d3d6800b57811eae.RefCountMapEntryCreator,1,1,2
com.gemstone.gemfire.internal.cache.geode_old_5f6439e8d3d6800b57811eae.TXExpiryTask,2,3,4
com.gemstone.gemfire.internal.cache.geode_old_5f6439e8d3d6800b57811eae.TXRemovalMessage,1.17,2,7
com.gemstone.gemfire.internal.cache.geode_old_5f643a0fd3d6800b57812212,1.92,3,71
com.gemstone.gemfire.internal.cache.geode_old_5f643a0fd3d6800b57812212.RemoteOperationResponse,2.75,11,22
com.gemstone.gemfire.internal.cache.geode_old_5f643a78d3d6800b57812adc,2.41,5,229
com.gemstone.gemfire.internal.cache.geode_old_5f643a78d3d6800b57812adc.RefCountMapEntry,1.2,2,12
com.gemstone.gemfire.internal.cache.geode_old_5f643a78d3d6800b57812adc.RefCountMapEntryCreator,1,1,2
com.gemstone.gemfire.internal.cache.geode_old_5f643a78d3d6800b57812adc.TXExpiryTask,2,3,4
com.gemstone.gemfire.internal.cache.geode_old_5f643a78d3d6800b57812adc.TXRemovalMessage,1.17,2,7
com.gemstone.gemfire.internal.cache.geode_old_5f643a99d3d6800b57812dba,1.92,3,71
com.gemstone.gemfire.internal.cache.geode_old_5f643a99d3d6800b57812dba.RemoteOperationResponse,2.75,11,22
com.gemstone.gemfire.internal.cache.geode_old_5f643af0d3d6800b5781356a,2.41,5,229
com.gemstone.gemfire.internal.cache.geode_old_5f643af0d3d6800b5781356a.RefCountMapEntry,1.2,2,12
com.gemstone.gemfire.internal.cache.geode_old_5f643af0d3d6800b5781356a.RefCountMapEntryCreator,1,1,2
